 2.200000e+00  2.200000e+00  0.000000e+00  8.046153e-03
 2.300000e+00  2.200000e+00  0.000000e+00  8.101516e-03
 2.400000e+00  2.200000e+00  0.000000e+00  8.153770e-03
 2.500000e+00  2.200000e+00  0.000000e+00  8.203527e-03
 2.600000e+00  2.200000e+00  0.000000e+00  8.251259e-03
 2.700000e+00  2.200000e+00  0.000000e+00  8.297316e-03
 2.800000e+00  2.200000e+00  0.000000e+00  8.341965e-03
 2.900000e+00  2.200000e+00  0.000000e+00  8.385431e-03
 3.000000e+00  2.200000e+00  0.000000e+00  8.427865e-03
 3.100000e+00  2.200000e+00  0.000000e+00  8.469405e-03
 3.200000e+00  2.200000e+00  0.000000e+00  8.510157e-03
 3.300000e+00  2.200000e+00  0.000000e+00  8.550212e-03
 3.400000e+00  2.200000e+00  0.000000e+00  8.589636e-03
 3.500000e+00  2.200000e+00  0.000000e+00  8.628498e-03
 3.600000e+00  2.200000e+00  0.000000e+00  8.666843e-03
 0.000000e+00  2.800000e+00  0.000000e+00  1.455405e-20
 1.000000e-01  2.800000e+00  0.000000e+00  1.095553e-03
 2.000000e-01  2.800000e+00  0.000000e+00  2.143736e-03
 3.000000e-01  2.800000e+00  0.000000e+00  3.148111e-03
 4.000000e-01  2.800000e+00  0.000000e+00  4.107084e-03
 5.000000e-01  2.800000e+00  0.000000e+00  5.018634e-03
 6.000000e-01  2.800000e+00  0.000000e+00  5.880632e-03
 7.000000e-01  2.800000e+00  0.000000e+00  6.690924e-03
 8.000000e-01  2.800000e+00  0.000000e+00  7.447437e-03
 9.000000e-01  2.800000e+00  0.000000e+00  8.148339e-03
 1.000000e+00  2.800000e+00  0.000000e+00  8.792203e-03
 1.100000e+00  2.800000e+00  0.000000e+00  9.378279e-03
 1.200000e+00  2.800000e+00  0.000000e+00  9.906687e-03
 1.300000e+00  2.800000e+00  0.000000e+00  1.037859e-02
 1.400000e+00  2.800000e+00  0.000000e+00  1.079624e-02
 1.500000e+00  2.800000e+00  0.000000e+00  1.116288e-02
 1.600000e+00  2.800000e+00  0.000000e+00  1.148252e-02
 1.700000e+00  2.800000e+00  0.000000e+00  1.175976e-02
 1.800000e+00  2.800000e+00  0.000000e+00  1.199942e-02
 1.900000e+00  2.800000e+00  0.000000e+00  1.220643e-02
 2.000000e+00  2.800000e+00  0.000000e+00  1.238554e-02
 2.100000e+00  2.800000e+00  0.000000e+00  1.254121e-02
 2.200000e+00  2.800000e+00  0.000000e+00  1.267744e-02
